URL,Size(Bytes),Outlinks,Content-Type
https://www.foxnews.com,777075,901,text/html
https://www.foxnews.com/,777075,901,text/html
https://nation.foxnews.com/?cmpid=org=nat::ag=owned::mc=fnc_display::src=fnc_web::cmp=brand::add=toprail,120457,29,text/html
https://radio.foxnews.com/,205432,208,text/html
https://www.foxnews.com/books,39026,131,text/html
https://www.foxnews.com/us,351057,653,text/html
https://www.foxnews.com/category/crime,184412,497,text/html
https://www.foxnews.com/category/us/immigration,250246,575,text/html
https://www.foxnews.com/category/us/terror,234708,577,text/html
https://www.foxnews.com/true-crime,341709,637,text/html
https://www.foxnews.com/category/us/bryan-kohberger,211756,514,text/html
https://www.foxnews.com/category/us/luigi-mangione,215478,511,text/html
https://www.foxnews.com/politics,309801,573,text/html
https://www.foxnews.com/category/person/donald-trump,275915,565,text/html
https://www.foxnews.com/category/politics/senate,233997,577,text/html
https://www.foxnews.com/category/politics/house-of-representatives,234515,577,text/html
https://www.foxnews.com/category/politics/judiciary,234371,577,text/html
https://www.foxnews.com/category/politics/foreign-policy,236051,577,text/html
https://www.foxnews.com/official-polls,299515,556,text/html
https://www.foxnews.com/category/politics/2025-2026-elections-coverage,269137,610,text/html
https://www.foxnews.com/world,341511,619,text/html
https://www.foxnews.com/category/world/united-nations,234103,577,text/html
https://www.foxnews.com/category/world/conflicts,234495,577,text/html
https://www.foxnews.com/category/world/terrorism,206446,505,text/html
https://www.foxnews.com/category/disasters,182199,497,text/html
https://www.foxnews.com/category/world/global-economy,235422,577,text/html
https://www.foxnews.com/category/environment,183666,497,text/html
https://www.foxnews.com/category/world/religion,236209,577,text/html
https://www.foxnews.com/category/world/scandals,237847,577,text/html
https://www.foxnews.com/opinion,317050,578,text/html
https://www.foxnews.com/media,410887,685,text/html
https://www.foxnews.com/shows/fox-nation,266389,523,text/html
https://www.foxnews.com/entertainment,326355,603,text/html
https://www.foxnews.com/category/person/dolly-parton,266723,591,text/html
https://www.foxnews.com/category/world/personalities/british-royals,232929,514,text/html
https://www.foxnews.com/category/entertainment/genres/country,266484,592,text/html
https://www.foxnews.com/category/person/nicole-kidman,208720,509,text/html
https://www.foxnews.com/category/person/keith-urban,235206,577,text/html
https://www.foxnews.com/sports,292441,552,text/html
https://www.foxnews.com/category/sports/nfl,227385,530,text/html
https://www.foxnews.com/category/sports/ncaa-fb,225946,530,text/html
https://www.foxnews.com/category/sports/mlb,205180,506,text/html
https://www.foxnews.com/category/auto/nascar,232921,579,text/html
https://www.foxnews.com/category/auto/indycar,226683,577,text/html
https://www.foxnews.com/category/sports/nba,232857,577,text/html
https://www.foxnews.com/category/sports/nhl,234381,577,text/html
https://www.foxnews.com/category/sports/golf,229816,577,text/html
https://www.foxnews.com/category/sports/tennis,233304,577,text/html
https://www.foxnews.com/category/sports/ufc,231307,577,text/html
https://www.foxnews.com/category/organization/wwe,207266,509,text/html
https://www.foxnews.com/lifestyle,364758,665,text/html
https://www.foxnews.com/travel,339414,662,text/html
https://www.foxnews.com/health,536909,1098,text/html
https://www.foxnews.com/category/science/archaeology,286317,608,text/html
https://www.foxnews.com/food-drink,331073,643,text/html
https://www.foxnews.com/games,190931,471,text/html
https://www.foxnews.com/category/health/maha,224252,526,text/html
https://www.foxnews.com/category/health/cancer,235936,580,text/html
https://www.foxnews.com/category/health/nutrition-and-fitness/weight-loss,236853,580,text/html
https://www.foxnews.com/category/health/brain-health,242529,590,text/html
https://www.foxnews.com/category/health/heart-health,260694,586,text/html
https://www.foxnews.com/category/health/healthy-living,216615,521,text/html
https://www.foxnews.com/video,2315618,1406,text/html
https://www.foxnews.com/category/tech/artificial-intelligence,279525,610,text/html
https://www.foxnews.com/video/5614615980001,143758,24,text/html
https://www.foxnews.com/category/world/world-regions/israel,210520,517,text/html
https://www.foxnews.com/category/topic/government-shutdown,261341,583,text/html
https://www.foxnews.com/category/media/charlie-kirk,267232,585,text/html
https://www.foxnews.com/games/5-across-word-game,180059,474,text/html
https://www.foxnews.com/games/lil-snack-downwords,177859,474,text/html
https://www.foxnews.com/games/sudoku,177537,474,text/html
https://www.foxnews.com/games/lil-snack-word-swap,177930,474,text/html
https://www.foxnews.com/games/word-search,178421,474,text/html
https://www.foxnews.com/games/icon-match-puzzle,177978,474,text/html
https://www.foxnews.com/games/daily-crossword-puzzle,178602,474,text/html
https://www.foxnews.com/games/mini-crossword-puzzle,179105,474,text/html
https://www.foxnews.com/deals,280119,530,text/html
https://www.foxnews.com/category/deals/trending,225943,577,text/html
https://www.foxnews.com/category/deals/gift,197890,512,text/html
https://www.foxnews.com/category/deals/home,223255,577,text/html
https://www.foxnews.com/category/deals/kitchen,224168,577,text/html
https://www.foxnews.com/category/deals/tech-and-electronic,223820,577,text/html
https://www.foxnews.com/category/deals/health-and-fitness,204235,528,text/html
https://www.foxnews.com/category/deals/beauty-and-fashion,224220,577,text/html
https://www.foxnews.com/tech,296671,588,text/html
https://www.foxnews.com/category/science/air-and-space,232621,577,text/html
https://www.foxnews.com/category/tech/topics/security,229479,577,text/html
https://www.foxnews.com/category/tech/topics/innovation,205519,517,text/html
https://www.foxnews.com/category/tech/topics/video-games,228882,577,text/html
https://www.foxnews.com/category/tech/topics/military-tech,234111,577,text/html
https://www.foxnews.com/category/science/planet-earth,234896,577,text/html
https://www.foxnews.com/category/science/wild-nature,232163,577,text/html
https://www.foxnews.com/shows,234106,517,text/html
https://www.foxnews.com/fnctv,157298,458,text/html
https://www.foxnews.com/person/personalities,158927,483,text/html
https://www.foxnews.com/video/shows,240748,44,text/html
https://www.foxnews.com/video/topics/v-most-recent-episodes,270687,73,text/html
https://www.foxnews.com/video/topics/latest-news-video,372632,75,text/html
https://www.foxnews.com/apps-products,240964,486,text/html
